consumer.conversion_rate,consumer.avg_utility,consumer.avg_intent_fulfilment,consumer.avg_total_price,consumer.avg_delivery_time,consumer.avg_platforms_checked,consumer.avg_shortlist_relevance,restaurant.total_orders,restaurant.avg_restaurant_profit,restaurant.exposure_gini,restaurant.order_gini,restaurant.exposure_hhi,platform.total_orders,platform.platform_net_revenue,platform.platform_commission_rev,llm.total_llm_revenue,llm.avg_llm_revenue_per_order,llm.click_through_rate,llm.avg_shortlist_relevance,llm.conversion_from_llm,system.consumer_welfare,system.total_surplus,n_total,n_orders,gross_platform_surplus_before_llm,effective_llm_rate,platform_net_vs_no_llm,run,seed,scenario
0.786,2.256201787306026,0.7209592057047868,33.33862311951378,33.545801526717554,1.0,0.93326,786.0,10.783167789008901,0.3174643584521384,0.37039864291772684,0.04156694223103438,786.0,6766.440171627525,5177.378942758362,0.0,0.0,0.93,0.93326,0.786,2256.201787306026,17498.211841094548,1000.0,786.0,0.0,0.0,529.2850659815804,0.0,42.0,LLM Neutral
0.775,2.211448212786366,0.6914742579366323,33.65631298333638,34.47870967741935,1.0,0.8797200000000001,775.0,10.42488479167055,0.3332736532187477,0.42204301075268824,0.0378815573828647,775.0,6807.985308785944,5665.6064854705255,570.8302031399994,0.6034427332066842,0.926,0.8797200000000001,0.775,2211.448212786366,17098.719235116987,1000.0,775.0,1141.6604062799988,0.7365551008258057,570.830203139999,0.0,42.0,LLM CPC
0.802,2.267472481165367,0.695988889971262,33.35307086910604,34.109725685785534,1.0,0.9030199999999999,802.0,10.310056363874248,0.3735835532531848,0.4421840136500852,0.037151035973708724,802.0,6881.516058335581,5737.201398473005,644.3609526896353,0.8034425844010414,0.934,0.9030199999999999,0.802,2267.472481165367,17417.653743328094,1000.0,802.0,1288.7219053792705,0.8034425844010414,644.3609526896362,0.0,42.0,LLM CPA
0.791,2.244484668379679,0.714415738172281,33.95820386832996,33.92920353982301,1.0,0.9385,791.0,10.742937830885925,0.34394370780118755,0.4503792667509483,0.03658315994161616,791.0,6708.762743839461,5483.108782916813,471.60763819351683,0.5962169888666458,0.934,0.9385,0.791,2244.484668379679,17450.91123644991,1000.0,791.0,943.2152763870336,0.5962169888666458,471.6076381935163,0.0,42.0,LLM CPFI
0.828,2.4858251507594686,0.7878302508571268,30.99825569446573,33.86473429951691,1.0,0.97676,828.0,9.673553611855827,0.28649973502914694,0.43119601815253983,0.037015901036171306,828.0,6685.433119035433,4984.406805880795,0.0,0.0,0.936,0.97676,0.828,2485.8251507594687,17180.960660411525,1000.0,828.0,0.0,0.0,-885.082666446543,1.0,43.0,LLM Neutral
0.832,2.412835270633577,0.74662424356284,32.16865220101411,33.58653846153846,1.0,0.94351,832.0,9.194368758065334,0.29849169380917373,0.4163461538461539,0.03188431998310398,832.0,7764.919014338498,5949.475503839548,194.40322885652134,0.20324074477916362,0.941,0.94351,0.832,2412.8352706335772,17827.469091682433,1000.0,832.0,388.8064577130426,0.23365772699101123,194.4032288565213,1.0,43.0,LLM CPC
0.838,2.448540362891942,0.7620035563369898,32.22931944691846,33.03579952267303,1.0,0.95997,838.0,9.28897754924916,0.2938067205477841,0.429104705954348,0.03182086858765541,838.0,7752.288781877057,5926.6125916682295,181.7729963950796,0.21691288352634797,0.945,0.95997,0.838,2448.540362891942,17984.992331039797,1000.0,838.0,363.5459927901593,0.21691288352634797,181.77299639508055,1.0,43.0,LLM CPA
0.835,2.484030975733054,0.7877652856416907,32.16298391160732,32.80359281437126,1.0,0.99784,835.0,9.656406510353436,0.25204879406141445,0.40547476475620203,0.032554937221773245,835.0,7466.61695512109,5615.001702057549,0.0,0.0,0.947,0.99784,0.835,2484.030975733054,18013.74736699926,1000.0,835.0,-103.89883036088668,0.0,-103.89883036088668,1.0,43.0,LLM CPFI
0.824,2.437090307442672,0.7650013408734337,32.82474973995861,33.0,1.0,0.9927699999999999,824.0,9.98596863867631,0.318211009174312,0.4054072276159655,0.03268290547933675,824.0,6793.515561897387,5169.099901625808,0.0,0.0,0.94,0.9927699999999999,0.824,2437.0903074426724,17459.04402760934,1000.0,824.0,0.0,0.0,-423.03224787086674,2.0,44.0,LLM Neutral
0.808,2.3487247071592425,0.7255913134572697,32.919324808484404,32.78341584158416,1.0,0.96826,808.0,9.223679115611622,0.18656743620899152,0.3532178217821782,0.028294728263517435,808.0,7523.211093182004,5883.802571030489,306.66328341375083,0.32478135437018735,0.94,0.96826,0.808,2348.7247071592424,17324.668525755438,1000.0,808.0,613.3265668275017,0.37953376660117677,306.66328341375083,2.0,44.0,LLM CPC
0.819,2.403171998075669,0.7486679013997322,31.926164427862144,31.91819291819292,1.0,0.98077,819.0,9.012648963284546,0.21784461152882217,0.4261003546717834,0.027770083102493074,819.0,7367.45824210998,5642.1835553437895,150.91043234172596,0.18426182215106957,0.941,0.98077,0.819,2403.1719980756693,17151.989741115693,1000.0,819.0,301.8208646834519,0.18426182215106957,150.91043234172685,2.0,44.0,LLM CPA
0.816,2.395066713936098,0.7674222959905213,33.58814281447287,31.88848039215686,1.0,0.9987999999999999,816.0,9.698731197481546,0.26307577598586107,0.42276561787505695,0.027615457185503647,816.0,7337.381992426265,5719.603496785035,120.8341826580122,0.14808110619854437,0.941,0.9987999999999999,0.816,2395.066713936098,17646.613363507306,1000.0,816.0,241.6683653160244,0.14808110619854437,120.83418265801174,2.0,44.0,LLM CPFI
0.799,2.2784325605538,0.719448198215523,33.92906129736859,34.6107634543179,1.0,0.9886200000000002,799.0,10.550086507420009,0.28054870436344803,0.4097194664061785,0.030338169672428812,799.0,6897.069009391292,5263.661615671324,0.0,0.0,0.944,0.9886200000000002,0.799,2278.4325605537997,17605.02068937368,1000.0,799.0,0.0,0.0,-441.3378906861353,3.0,45.0,LLM Neutral
0.771,2.2289169072877395,0.7127779462446718,34.454718629867024,34.21660181582361,1.0,0.9236500000000001,771.0,10.080800604399602,0.2669949610627578,0.37350843060959793,0.03184069882440186,771.0,7441.597323092347,5810.532420394369,103.19042301491977,0.10851726000311297,0.92,0.9236500000000001,0.771,2228.9169072877394,17442.811496372182,1000.0,771.0,206.38084602983963,0.1338397185666923,103.19042301492027,3.0,45.0,LLM CPC
0.767,2.220772598882259,0.7137446660553637,34.45001620096246,34.08213820078227,1.0,0.9410700000000002,767.0,10.093629546282719,0.24448619707240415,0.35984354628422444,0.03138681996007105,767.0,7441.906806369566,5784.428555289272,103.4999062921388,0.13494120768205842,0.918,0.9410700000000002,0.767,2220.772598882259,17404.49326725067,1000.0,767.0,206.9998125842776,0.13494120768205842,103.4999062921388,3.0,45.0,LLM CPA
0.807,2.290541864617946,0.7207204975109516,34.68149413049787,34.53779429987608,1.0,0.99876,807.0,10.612585908440431,0.21827042789898732,0.43122676579925656,0.02672401364833466,807.0,7449.211079502606,5751.293368303776,110.80417942517852,0.13730381589241453,0.951,0.99876,0.807,2290.541864617946,18304.10977223198,1000.0,807.0,221.60835885035704,0.13730381589241453,110.80417942517852,3.0,45.0,LLM CPFI
0.84,2.4149332948074123,0.7503592165773172,31.80509505843765,33.8,1.0,0.9581200000000001,840.0,10.34057007801239,0.3911416968411787,0.4571428571428573,0.04053526159584615,840.0,7153.413755726808,5282.992684079006,0.0,0.0,0.951,0.9581200000000001,0.84,2414.933294807412,18254.425916064625,1000.0,840.0,0.0,0.0,194.0988902061672,4.0,46.0,LLM Neutral
0.822,2.354904337692863,0.7261300030945665,31.1543792741049,33.75425790754258,1.0,0.9124200000000001,822.0,9.63846300322295,0.2916139933662931,0.40606991932385705,0.035177588539774145,822.0,7349.70857168198,5644.360821390102,390.39370616133965,0.4068773048755876,0.944,0.9124200000000001,0.822,2354.904337692863,17627.42949802411,1000.0,822.0,780.7874123226793,0.47493151601136213,390.39370616133965,4.0,46.0,LLM CPC
0.826,2.381874298204629,0.7344640520932367,31.16541745736824,33.153753026634384,1.0,0.9198,826.0,9.690767459604078,0.31100839668370717,0.4213075060532687,0.036036831250131386,826.0,7317.052048191149,5624.673318053885,357.737182670508,0.4330958627972252,0.944,0.9198,0.826,2381.8742982046288,17703.500268028747,1000.0,826.0,715.474365341016,0.4330958627972252,357.73718267050845,4.0,46.0,LLM CPA
0.834,2.424580861804917,0.7548000198953038,31.7185766054739,33.38729016786571,1.0,0.9633600000000001,834.0,10.117901340226814,0.31444381779096475,0.43450644889493817,0.03417934106572362,834.0,7202.182075345744,5443.880890388059,242.86720982510312,0.2912076856416105,0.948,0.9633600000000001,0.834,2424.580861804917,18065.09265489982,1000.0,834.0,485.7344196502063,0.2912076856416104,242.8672098251036,4.0,46.0,LLM CPFI
0.829,2.3610644537654006,0.6931712472385696,33.52598026345639,38.45476477683957,1.0,0.9816800000000001,829.0,11.641556949218511,0.25282398425998553,0.37765159316249375,0.028567383235376054,829.0,6679.849717677972,5225.777910754913,0.0,0.0,0.952,0.9816800000000001,0.829,2361.0644537654007,18691.76488234552,1000.0,829.0,0.0,0.0,-1.0388746823018664,5.0,47.0,LLM Neutral
0.827,2.338632051018985,0.6699286956649391,32.42920642031072,38.39419588875453,1.0,0.94652,827.0,10.268624241777214,0.22039782883905912,0.32830978853923964,0.028749318710358594,827.0,7020.118213675539,5768.656757856012,339.2296213152645,0.3536319588276483,0.944,0.94652,0.827,2338.6320510189853,17850.90251264428,1000.0,827.0,678.4592426305289,0.41019301247311307,339.2296213152649,5.0,47.0,LLM CPC
0.83,2.338024029834591,0.671305211321511,32.62118221747797,38.11084337349398,1.0,0.9655499999999999,830.0,10.338554788679824,0.18846934101171398,0.33459552495697076,0.027022200659785382,830.0,7010.137016998795,5751.862951012252,329.24842463852156,0.3966848489620741,0.95,0.9655499999999999,0.83,2338.024029834591,17929.16152143764,1000.0,830.0,658.4968492770431,0.3966848489620742,329.2484246385211,5.0,47.0,LLM CPA
0.825,2.3506810586598945,0.694738540787389,33.522521477036015,37.25939393939394,1.0,0.98764,825.0,11.485692239664125,0.1823704080766948,0.4137465564738292,0.024682774373663976,825.0,6847.841539915284,5550.065896148812,166.9529475550098,0.20236720915758766,0.954,0.98764,0.825,2350.6810586598945,18674.21869629808,1000.0,825.0,333.9058951100196,0.20236720915758766,166.9529475550098,5.0,47.0,LLM CPFI
0.795,2.384422719747555,0.7607889194536296,31.029381829467926,35.23647798742138,1.0,0.9315399999999999,795.0,9.463775733871737,0.3138229041501064,0.4400081152363562,0.0432129046559552,795.0,6394.512285084629,4882.310007038879,0.0,0.0,0.932,0.9315399999999999,0.795,2384.422719747555,16302.636713260215,1000.0,795.0,0.0,0.0,-29.200994421116775,6.0,48.0,LLM Neutral
0.791,2.3193977821994913,0.7344210951295463,30.37821943587428,34.336283185840706,1.0,0.88765,791.0,8.656949290904729,0.32418630329493836,0.43017733283220005,0.037114663914774096,791.0,6723.765504321052,5347.692941815218,300.05222481530575,0.3142878528152584,0.934,0.88765,0.791,2319.3977821994913,15890.810175626182,1000.0,791.0,600.1044496306113,0.3793327747348998,300.05222481530564,6.0,48.0,LLM CPC
0.793,2.3301840959452367,0.743005997902317,31.036078491074335,33.95838587641866,1.0,0.90898,793.0,8.889488092320894,0.3192294679861287,0.390488200324266,0.037462042415658876,793.0,6762.314211835802,5418.650913021309,338.60093233005495,0.42698730432541615,0.934,0.90898,0.793,2330.1840959452365,16141.862364991506,1000.0,793.0,677.20186466011,0.4269873043254161,338.6009323300559,6.0,48.0,LLM CPA
0.8,2.3833321081491885,0.7702216807982686,30.48564048826333,33.93,1.0,0.93903,800.0,8.991902532337866,0.3233926499360533,0.4802777777777778,0.03687696544682971,800.0,6569.691013971658,5076.754674263061,145.97773446591282,0.18247216808239103,0.935,0.93903,0.8,2383.3321081491886,16146.54514799114,1000.0,800.0,291.95546893182564,0.18247216808239103,145.97773446591236,6.0,48.0,LLM CPFI
0.826,2.423427580731911,0.7513783074997065,30.873781081977626,35.062953995157386,1.0,0.97057,826.0,9.370948311152684,0.2827785326086958,0.4759887005649719,0.03517701810609641,826.0,6686.256738651587,5118.689352964555,0.0,0.0,0.942,0.97057,0.826,2423.427580731911,16850.087624395615,1000.0,826.0,0.0,0.0,-120.9446499614387,7.0,49.0,LLM Neutral
0.804,2.3016434117143345,0.7161186262622813,31.846310072513482,35.615671641791046,1.0,0.9313,804.0,9.00373428116096,0.2704064219962987,0.3833672546359115,0.030317849943728114,804.0,7217.978747242545,5858.0082875446915,410.7773586295197,0.44091002481390057,0.926,0.9313,0.804,2301.6434117143344,16758.624521010293,1000.0,804.0,821.5547172590395,0.5109171127232832,410.77735862951977,7.0,49.0,LLM CPC
0.81,2.348635752156549,0.7346804302135639,31.569892946870173,34.403703703703705,1.0,0.9457700000000001,810.0,9.003896455744243,0.2538218155088474,0.42032730404823426,0.030948765173941226,810.0,7138.967371154886,5733.999810579666,331.7659825418609,0.4095876327677295,0.924,0.9457700000000001,0.81,2348.6357521565487,16780.75925246427,1000.0,810.0,663.5319650837218,0.4095876327677295,331.76598254186047,7.0,49.0,LLM CPA
